organisationunitid,organisationunitname,province_name,province_code,organisationunitcode,2015-06-27,2016-06-26,2017-06-26,2018-06-26,2019-06-27,2020-06-26,2021-06-26,2022-06-26,2023-06-27,2024-06-26,2025-06-26,2015-09-29,2016-09-28,2017-09-28,2018-09-28,2019-09-29,2020-09-28,2021-09-28,2022-09-28,2023-09-29,2024-09-28,2025-09-28,2015-04-25,2016-04-24,2017-04-25,2018-04-25,2019-04-25,2020-04-24,2021-04-25,2022-04-25,2023-04-25,2024-04-24,2025-04-25,2015-08-29,2016-08-28,2017-08-28,2018-08-28,2019-08-29,2020-08-28,2021-08-28,2022-08-28,2023-08-29,2024-08-28,2025-08-28,2016-03-25,2017-03-25,2018-03-26,2019-03-26,2020-03-25,2021-03-25,2022-03-26,2023-03-26,2024-03-25,2025-03-25,2016-02-24,2017-02-23,2018-02-24,2019-02-24,2020-02-24,2021-02-24,2022-02-24,2023-02-24,2024-02-24,2025-02-24,2015-05-26,2016-05-25,2017-05-26,2018-05-26,2019-05-26,2020-05-25,2021-05-26,2022-05-26,2023-05-26,2024-05-25,2025-05-26,2015-10-29,2016-10-28,2017-10-29,2018-10-29,2019-10-29,2020-10-28,2021-10-29,2022-10-29,2023-10-29,2024-10-28,2025-10-29,2016-01-26,2017-01-25,2018-01-26,2019-01-26,2020-01-26,2021-01-25,2022-01-26,2023-01-26,2024-01-26,2025-01-25,2015-11-28,2016-11-27,2017-11-28,2018-11-28,2019-11-28,2020-11-27,2021-11-28,2022-11-28,2023-11-28,2024-11-27,2025-11-28,2015-12-27,2016-12-27,2017-12-27,2018-12-27,2019-12-28,2020-12-27,2021-12-27,2022-12-27,2023-12-28,2024-12-27,2015-07-28,2016-07-27,2017-07-27,2018-07-28,2019-07-28,2020-07-27,2021-07-27,2022-07-28,2023-07-28,2024-07-27,2025-07-28
BywOwm8jUhf,703 DARCHULA,7 Sudurpashchim Province,7,703,0,0,0,0,1.0,0,4.0,1.0,0,0,0,0,0,0,1.0,0,0,0,4.0,2.0,2.0,2.0,0,0,0,0,0,0,0,1.0,3.0,0,0,0,2.0,0,1.0,0,1.0,1.0,0,1.0,0,5.0,0,0,0,0,0,0,0,1.0,4.0,1.0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,2.0,1.0,1.0,0,0,1.0,0,1.0,0,0,0,0,0,2.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1.0,1.0,2.0,0,0,4.0,1.0,11.0
kfrKchZfqGr,407 TANAHU,4 Gandaki Province,4,407,12.0,19.0,2.0,5.0,2.0,3.0,5.0,29.0,2.0,16.0,24.0,11.0,20.0,1.0,13.0,15.0,19.0,37.0,33.0,8.0,33.0,8.0,11.0,6.0,0,2.0,4.0,3.0,6.0,0,0,2.0,19.0,13.0,19.0,7.0,11.0,10.0,31.0,10.0,8.0,9.0,17.0,7.0,11.0,0,0,0,2.0,2.0,8.0,0,0,9.0,10.0,0,1.0,2.0,0,3.0,3.0,0,0,0,20.0,13.0,3.0,2.0,0,10.0,5.0,41.0,1.0,9.0,12.0,10.0,26.0,2.0,1.0,4.0,9.0,15.0,10.0,2.0,8.0,20.0,7.0,4.0,0,2.0,0,0,0,0,1.0,0,9.0,9.0,0,0,1.0,3.0,2.0,0,0,2.0,18.0,8.0,7.0,3.0,0,1.0,2.0,4.0,0,0,1.0,11.0,28.0,6.0,13.0,9.0,26.0,32.0,14.0,3.0,22.0,55.0
BdLcDbLQd88,101 TAPLEJUNG,1 Koshi Province,1,101,0,3.0,10.0,12.0,11.0,4.0,4.0,2.0,1.0,2.0,2.0,6.0,8.0,8.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,14.0,4.0,0,3.0,0,0,1.0,5.0,1.0,5.0,6.0,5.0,1.0,4.0,2.0,3.0,9.0,1.0,4.0,2.0,0,7.0,0,0,0,1.0,0,6.0,0,0,0,0,0,3.0,0,0,0,0,0,0,8.0,31.0,10.0,4.0,14.0,2.0,4.0,0,1.0,3.0,0,2.0,1.0,0,0,6.0,1.0,2.0,1.0,0,4.0,2.0,0,3.0,0,0,0,0,0,0,0,0,2.0,1.0,0,0,0,0,0,0,6.0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,4.0,2.0,11.0,1.0,6.0,5.0,9.0,1.0,5.0,1.0,7.0
zkFZKX5RX1A,501 RUKUM EAST,5 Lumbini Province,5,501,0,0,0,0,1.0,3.0,1.0,8.0,1.0,1.0,7.0,0,0,0,0,0,2.0,2.0,1.0,0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,6.0,0,2.0,0,0,1.0,3.0,3.0,3.0,0,0,3.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,2.0,1.0,0,1.0,1.0,10.0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,5.0,0,0,5.0,16.0
WfE2smSUNDt,504 GULMI,5 Lumbini Province,5,504,2.0,429.0,3.0,10.0,10.0,8.0,8.0,17.0,15.0,12.0,16.0,1.0,1.0,1.0,10.0,0,24.0,17.0,5.0,25.0,11.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,2.0,2.0,0,2.0,0,1.0,6.0,3.0,15.0,7.0,8.0,22.0,9.0,20.0,27.0,7.0,2.0,2.0,2.0,0,0,0,0,0,0,0,1.0,0,0,0,10.0,0,0,0,0,3.0,9.0,8.0,3.0,9.0,10.0,7.0,17.0,3.0,1.0,9.0,4.0,0,0,1.0,2.0,5.0,5.0,5.0,0,5.0,8.0,3.0,0,2.0,1.0,0,0,0,1.0,0,0,0,1.0,1.0,0,0,1.0,1.0,1.0,3.0,0,3.0,0,0,0,0,1.0,1.0,7.0,0,0,0,2.0,2.0,3.0,1.0,17.0,13.0,10.0,18.0,13.0,7.0,40.0,27.0
QzI3Btz60Ne,305 NUWAKOT,3 Bagmati Province,3,305,3.0,5.0,10.0,7.0,5.0,9.0,3.0,6.0,4.0,8.0,10.0,6.0,2.0,11.0,6.0,5.0,8.0,3.0,1.0,5.0,5.0,6.0,0,0,3.0,4.0,0,1.0,4.0,0,0,1.0,1.0,10.0,3.0,220.0,6.0,10.0,11.0,9.0,6.0,7.0,3.0,5.0,1.0,0,2.0,1.0,0,0,0,0,0,0,3.0,0,0,1.0,0,0,0,0,0,0,0,9.0,6.0,0,2.0,5.0,2.0,2.0,1.0,4.0,0,0,1.0,0,0,1.0,3.0,2.0,0,0,2.0,4.0,0,4.0,0,0,0,0,2.0,0,0,0,0,2.0,2.0,0,1.0,0,0,0,0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,10.0,4.0,11.0,7.0,17.0,6.0,11.0,8.0,3.0,3.0,26.0
O5p5idrXdiw,112 MORANG,1 Koshi Province,1,112,12.0,15.0,48.0,56.0,24.0,39.0,14.0,31.0,10.0,103.0,146.0,2.0,34.0,34.0,38.0,18.0,9.0,29.0,13.0,63.0,90.0,44.0,10.0,12.0,11.0,23.0,16.0,6.0,31.0,97.0,9.0,55.0,59.0,23.0,31.0,34.0,26.0,63.0,17.0,22.0,12.0,19.0,103.0,87.0,0,9.0,9.0,11.0,24.0,5.0,12.0,32.0,42.0,42.0,0,2.0,9.0,6.0,8.0,4.0,7.0,3.0,1.0,2.0,18.0,8.0,18.0,31.0,25.0,9.0,9.0,24.0,12.0,86.0,54.0,23.0,15.0,22.0,11.0,6.0,5.0,9.0,10.0,46.0,59.0,23.0,0,7.0,0,2.0,2.0,2.0,0,1.0,0,3.0,2.0,19.0,13.0,19.0,5.0,4.0,46.0,14.0,30.0,7.0,9.0,0,5.0,3.0,2.0,4.0,2.0,8.0,2.0,2.0,3.0,23.0,60.0,80.0,77.0,2.0,13.0,31.0,66.0,22.0,120.0,517.0
jJmNryYp6Mc,602 MUGU,6 Karnali Province,6,602,0,0,0,12.0,1.0,6.0,0,0,2.0,0,2.0,0,0,0,0,0,2.0,0,1.0,0,1.0,0,0,0,84.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,4.0,0,1.0,1.0,1.0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2.0,0,1.0,0,7.0
bX87SmYR3TJ,202 SIRAHA,2 Madhesh Province,2,202,0,0,61.0,69.0,0,70.0,63.0,88.0,17.0,5.0,8.0,0,1.0,41.0,34.0,34.0,23.0,34.0,11.0,0,0,0,0,0,3.0,0,9.0,26.0,16.0,29.0,7.0,53.0,13.0,0,0,11.0,86.0,36.0,0,55.0,0,11.0,13.0,0,0,0,19.0,18.0,18.0,8.0,5.0,0,22.0,18.0,10.0,0,0,1.0,5.0,8.0,9.0,0,27.0,0,0,0,28.0,6.0,20.0,29.0,18.0,40.0,8.0,0,15.0,0,142.0,35.0,40.0,19.0,31.0,30.0,10.0,4.0,0,0,5.0,0,179.0,82.0,1.0,9.0,0,0,2.0,0,4.0,0,9.0,8.0,24.0,9.0,19.0,0,11.0,0,0,14.0,0,0,0,2.0,0,4.0,0,11.0,0,0,10.0,90.0,46.0,56.0,8.0,68.0,23.0,13.0,6.0,6.0
rsZaqJl5R0A,312 MAKWANPUR,3 Bagmati Province,3,312,14.0,12.0,10.0,29.0,7.0,3.0,8.0,3.0,2.0,24.0,9.0,5.0,6.0,3.0,9.0,1.0,1.0,2.0,58.0,10.0,4.0,10.0,0,0,1.0,3.0,3.0,0,4.0,1.0,0,4.0,3.0,4.0,3.0,6.0,9.0,6.0,3.0,3.0,6.0,10.0,14.0,14.0,1.0,7.0,0,3.0,3.0,0,0,0,1.0,1.0,0,1.0,0,2.0,0,0,0,17.0,0,0,6.0,4.0,9.0,6.0,5.0,3.0,11.0,3.0,1.0,8.0,5.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,4.0,2.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,7.0,2.0,2.0,0,0,0,2.0,1.0,0,0,0,11.0,13.0,13.0,12.0,2.0,8.0,5.0,12.0,6.0,17.0,69.0
JBTkOU5m0Bu,702 BAJHANG,7 Sudurpashchim Province,7,702,3.0,1.0,0,2.0,16.0,2.0,0,6.0,1.0,7.0,1.0,2.0,3.0,0,1.0,8.0,2.0,9.0,0,6.0,5.0,1.0,0,2.0,0,0,0,0,0,0,0,1.0,2.0,7.0,7.0,10.0,10.0,3.0,2.0,2.0,10.0,15.0,7.0,4.0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,0,0,26.0,0,1.0,7.0,0,2.0,5.0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,0,0,0,0,0,1.0,0,0,2.0,0,0,0,0,0,0,2.0,0,0,0,0,0,2.0,6.0,5.0,17.0,2.0,3.0,23.0,3.0,17.0,17.0
wYKHZ0iyjfd,512 BARDIYA,5 Lumbini Province,5,512,0,1.0,13.0,23.0,6.0,0,3.0,1.0,1.0,1.0,3.0,0,0,5.0,3.0,0,8.0,18.0,0,4.0,1.0,0,0,0,18.0,11.0,7.0,0,0,1.0,0,2.0,0,0,0,1.0,34.0,53.0,3.0,13.0,3.0,0,0,0,0,5.0,0,0,0,0,0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,22.0,13.0,0,5.0,2.0,1.0,0,0,0,0,3.0,0,1.0,3.0,1.0,4.0,0,0,4.0,0,3.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,25.0,42.0,0,1.0,11.0,3.0,1.0,0,6.0
LnJ8MTOmgGa,105 KHOTANG,1 Koshi Province,1,105,12.0,25.0,9.0,8.0,15.0,9.0,13.0,5.0,5.0,17.0,11.0,4.0,12.0,2.0,3.0,4.0,12.0,8.0,1.0,3.0,7.0,1.0,0,0,4.0,2.0,1.0,1.0,1.0,0,0,0,0,1.0,7.0,13.0,6.0,8.0,5.0,3.0,8.0,8.0,16.0,3.0,0,0,0,1.0,6.0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,4.0,3.0,9.0,4.0,14.0,28.0,3.0,0,27.0,4.0,4.0,1.0,3.0,5.0,0,4.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,8.0,1.0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,15.0,1.0,0,0,0,0,2.0,6.0,1.0,0,0,0,0,6.0,3.0,26.0,9.0,5.0,7.0,4.0,3.0,4.0,6.0,25.0,31.0
grMJpaDdSrD,114 UDAYAPUR,1 Koshi Province,1,114,39.0,28.0,16.0,17.0,107.0,52.0,27.0,30.0,124.0,81.0,52.0,15.0,8.0,7.0,49.0,33.0,0,29.0,51.0,34.0,62.0,25.0,2.0,9.0,1.0,25.0,26.0,16.0,6.0,12.0,5.0,8.0,22.0,32.0,9.0,8.0,32.0,53.0,51.0,22.0,59.0,47.0,50.0,12.0,0,2.0,3.0,20.0,7.0,6.0,15.0,4.0,11.0,11.0,0,0,0,4.0,4.0,5.0,6.0,9.0,0,1.0,7.0,10.0,29.0,43.0,65.0,28.0,21.0,32.0,35.0,40.0,22.0,8.0,6.0,2.0,4.0,13.0,2.0,23.0,32.0,20.0,29.0,17.0,0,0,0,0,1.0,0,3.0,0,0,0,1.0,0,1.0,0,1.0,0,11.0,10.0,7.0,12.0,5.0,2.0,1.0,2.0,0,4.0,0,0,2.0,0,6.0,7.0,15.0,16.0,34.0,55.0,41.0,40.0,39.0,65.0,73.0,143.0
ycBkX3TlIrL,606 DAILEKH,6 Karnali Province,6,606,0,11.0,3.0,7.0,8.0,14.0,7.0,4.0,13.0,5.0,5.0,1.0,6.0,12.0,2.0,5.0,7.0,1.0,6.0,7.0,3.0,4.0,1.0,0,0,0,0,5.0,0,0,0,1.0,0,6.0,6.0,8.0,21.0,3.0,11.0,1.0,13.0,3.0,34.0,1.0,0,0,7.0,0,0,1.0,0,0,0,0,0,0,1.0,0,9.0,0,0,0,0,0,2.0,9.0,2.0,6.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,0,0,1.0,0,0,2.0,1.0,2.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,2.0,9.0,0,0,0,0,0,0,0,3.0,5.0,26.0,4.0,10.0,13.0,7.0,13.0,38.0,9.0,20.0
qoayxucpZqH,403 MUSTANG,4 Gandaki Province,4,403,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,1.0,0,0,0
ebbAyOhorzo,507 NAWALPARASI WEST,5 Lumbini Province,5,507,107.0,101.0,51.0,67.0,0,0,0,73.0,73.0,0,0,57.0,28.0,33.0,44.0,0,14.0,16.0,36.0,12.0,21.0,0,33.0,20.0,22.0,19.0,7.0,5.0,21.0,25.0,4.0,3.0,0,69.0,59.0,56.0,29.0,11.0,31.0,11.0,2.0,17.0,0,0,16.0,12.0,15.0,8.0,4.0,0,14.0,15.0,5.0,0,21.0,4.0,5.0,5.0,0,0,0,0,0,0,70.0,68.0,46.0,39.0,26.0,0,0,63.0,22.0,0,66.0,19.0,32.0,39.0,14.0,0,1.0,1.0,19.0,9.0,0,0,10.0,3.0,2.0,1.0,0,0,0,0,0,0,6.0,7.0,8.0,1.0,0,2.0,0,0,1.0,7.0,0,4.0,3.0,6.0,1.0,0,0,0,0,2.0,74.0,95.0,63.0,13.0,17.0,0,15.0,21.0,66.0,84.0,0,68.0
GnpIwWbdxdl,707 ACHHAM,7 Sudurpashchim Province,7,707,2.0,17.0,6.0,3.0,8.0,0,4.0,14.0,2.0,4.0,2.0,9.0,15.0,1.0,0,3.0,4.0,18.0,1.0,4.0,3.0,3.0,0,0,0,0,36.0,3.0,1.0,2.0,0,2.0,1.0,0,16.0,14.0,0,17.0,14.0,16.0,7.0,2.0,3.0,16.0,2.0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,9.0,6.0,2.0,0,13.0,2.0,4.0,0,1.0,0,0,159.0,1.0,2.0,1.0,1.0,4.0,0,0,14.0,0,0,0,2.0,0,2.0,0,1.0,1.0,0,0,0,3.0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,11.0,8.0,7.0,12.0,11.0,7.0,5.0,1.0,15.0,51.0
